id,title,release_year,vote_average,vote_count,popularity
1139095,Little Bites,2024-10-04,6.4,24,219.99
949484,Hounds of War,2024-08-29,6.5,97,212.292
1207898,The Jack in the Box: Rises,2024-01-18,6.845,132,233.812
693134,Dune: Part Two,2024-02-27,8.2,5496,211.899
672,Harry Potter and the Chamber of Secrets,2002-11-13,7.7,21836,190.061
150540,Inside Out,2015-06-17,7.913,21855,222.925
138843,The Conjuring,2013-07-18,7.5,11466,205.657
1122504,Exorcism in Utero,2023-05-23,6.077,13,216.964
1156593,Your Fault,2024-12-26,0.0,0,202.868
1207830,Gracie & Pedro: Pets to the Rescue,2024-05-01,7.1,22,227.577
502356,The Super Mario Bros. Movie,2023-04-05,7.65,9054,205.33
923667,Twilight of the Warriors: Walled In,2024-04-23,6.482,196,194.837
938614,Late Night with the Devil,2024-03-19,7.265,1067,227.02
1141182,Die Alone,2024-09-27,6.25,14,211.354
1022796,Wish,2023-11-13,6.4,1425,218.111
157336,Interstellar,2014-11-05,8.441,35465,209.801
1066262,The Convert,2024-03-14,6.2,92,206.651
1147400,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",2023-10-21,7.183,501,213.494
1032823,Trap,2024-07-31,6.5,1494,224.385
260346,Taken 3,2014-12-16,6.3,5706,169.258
840705,Blink Twice,2024-08-21,6.8,747,180.638
646385,Scream,2022-01-12,6.67,3260,172.555
1358752,Skinford 2: The Curse,2024-05-20,2.0,1,198.821
835113,Woman of the Hour,2024-10-03,6.6,316,204.249
1064213,Anora,2024-10-11,7.6,58,204.036
1010161,The Clean Up Crew,2024-09-12,5.1,5,184.585
1231818,Purpose of Tutoring,2023-12-07,7.0,3,207.11
1156593,Your Fault,2024-12-26,0.0,0,202.868
1219685,An Ideal Father,2024-04-21,6.4,98,241.685
1137205,Last Straw,2024-09-20,6.911,28,224.852
315162,Puss in Boots: The Last Wish,2022-12-07,8.2,7696,186.558
273477,Scouts Guide to the Zombie Apocalypse,2015-10-23,6.532,1898,190.962
983044,The Arctic Convoy,2023-12-25,6.76,48,192.114
76600,Avatar: The Way of Water,2022-12-14,7.6,11843,174.998
939243,Sonic the Hedgehog 3,2024-12-19,0.0,0,206.29
863873,Caddo Lake,2024-10-09,7.3,256,184.559
1262983,MadS,2024-10-25,6.9,26,169.955
674,Harry Potter and the Goblet of Fire,2005-11-16,7.812,20558,180.648
787699,Wonka,2023-12-06,7.12,3445,189.519
216015,Fifty Shades of Grey,2015-02-11,5.9,11697,181.261
609681,The Marvels,2023-11-08,6.1,2648,168.552
360776,Female Ninjas Magic Chronicles 3: Sacred Book of Sexual Positions,1993-05-21,7.5,3,206.31
173705,Female Teacher: In Front of the Students,1982-04-09,6.8,13,264.204
748230,Salem's Lot,2024-10-03,6.3,335,191.178
1186947,Outlaw,2024-06-20,6.012,85,175.213
1209290,Justice League: Crisis on Infinite Earths Part Three,2024-07-15,7.425,212,176.584
24428,The Avengers,2012-04-25,7.719,30643,173.273
675353,Sonic the Hedgehog 2,2022-03-30,7.506,4946,170.754
1134424,Mantra Warrior: The Legend of The Eight Moons,2023-10-11,6.4,29,180.142
1104844,BLUE LOCK THE MOVIE -EPISODE NAGI-,2024-04-19,7.145,76,182.27
948,Halloween,1978-10-24,7.6,5558,218.124
1362101,Blue Cave,2024-10-17,7.065,31,224.408
1190868,V/H/S/Beyond,2024-09-20,6.906,128,163.354
976573,Elemental,2023-06-14,7.637,4410,162.4
1024127,King of Killers,2023-09-01,6.545,132,169.631
1111873,Abigail,2024-04-16,6.8,1147,179.285
1139817,Officer Black Belt,2024-09-10,7.8,203,182.996
1147416,"Miraculous World, London: At the Edge of Time",2024-10-05,7.1,28,179.123
585,"Monsters, Inc.",2001-11-01,7.8,18349,181.666
